,asset_id,name,owner,seller,buyer,burnable,date,price_usd,media,coll_name,coll_author,coll_market_fee
0,1099511944064,Blockchain,tubes.kogs,2graw.wam,awloa.wam,False,2021-02-15,2.82,https://ipfs.atomichub.io/ipfs/QmcXVuHRS69fva9casTYdH14zfLscrBCvX7KWhSxm3DYZk/Kog/no_foil/common/1-100-0-23-0_front.png,kogsofficial,kogsofficial,0.08
1,1099511900044,Australia,tubes.kogs,2graw.wam,xlrqu.wam,False,2021-01-28,5.75,https://ipfs.atomichub.io/ipfs/QmcXVuHRS69fva9casTYdH14zfLscrBCvX7KWhSxm3DYZk/Kog/no_foil/common/1-80-0-23-0_front.png,kogsofficial,kogsofficial,0.08
3,1099512919318,Kaleidoscope 1,mywaxaddress,jkdqw.wam,mywaxaddress,True,2021-01-16,0.49,https://ipfs.atomichub.io/ipfs/QmfMJoZ1MY5S3ih5GcAryeHKtq6nucc2tCX5JW7MWTThGy,kaleidoscope,jkdqw.wam,0.05
7,1099512919322,Kaleidoscope 5,25.aw.wam,jkdqw.wam,25.aw.wam,True,2020-12-23,0.51,https://ipfs.atomichub.io/ipfs/QmUk8sb76SLtYS8pQtN3qzZSGquX8KJNQPAdgocssDwqvJ,kaleidoscope,jkdqw.wam,0.05
13,1099512956081,Titanium Dagger,fkaaw.wam,j2qau.wam,fkaaw.wam,True,2020-12-03,0.42,https://ipfs.atomichub.io/ipfs/Qmf8XMEn7rBuVE7qZQ6kiStgdwp13fLLp8bxLtQe8fW9Hx,alien.worlds,federation,0.025
15,1099512047805,Batty Baskin,atomicbridge,cqcau.wam,svwqu.wam,False,2020-12-04,0.13,https://ipfs.atomichub.io/ipfs/QmYkMDkB1d8ToHNHnFwpeESF3Npfid671NrfbPKiKG8e25/prism/4b.gif,gpk.topps,gpk.topps,0.08
16,1099512956080,Female Nordic,.goaw.wam,j2qau.wam,.goaw.wam,True,2021-01-15,0.45,https://ipfs.atomichub.io/ipfs/QmPTU9pcseB61Lp2esADYmEvPdJMHZBEiXbc9aCDChZS5m,alien.worlds,federation,0.025
17,1099512047779,Toxic Exotic,3zeai.wam,cqcau.wam,3zeai.wam,False,2020-12-19,0.2,https://ipfs.atomichub.io/ipfs/QmYkMDkB1d8ToHNHnFwpeESF3Npfid671NrfbPKiKG8e25/prism/10b.gif,gpk.topps,gpk.topps,0.08
18,1099512940110,Killer Wave Premium,s.rplanet,452qw.wam,3mqqu.wam,True,2020-12-14,2.13,https://ipfs.atomichub.io/ipfs/Qmd6nXPMLLSCesAb87jcMCtAnPRGxqyfRxUD2pumHm7oyw,mutants.r2,mutants.r2,0.08
19,1099512047793,Jeff Joke,gpk.steph,cqcau.wam,gpk.steph,False,2020-12-04,0.32,https://ipfs.atomichub.io/ipfs/QmYkMDkB1d8ToHNHnFwpeESF3Npfid671NrfbPKiKG8e25/prism/3a.gif,gpk.topps,gpk.topps,0.08
20,1099512047787,Political Junkie Joshua,ku3qw.wam,cqcau.wam,ku3qw.wam,False,2020-12-05,0.13,https://ipfs.atomichub.io/ipfs/QmYkMDkB1d8ToHNHnFwpeESF3Npfid671NrfbPKiKG8e25/base/12a.jpg,gpk.topps,gpk.topps,0.08
21,1099512474879,VanCity Outbreak Sticker #3,.agaw.wam,452qw.wam,.agaw.wam,True,2020-12-13,5.14,https://ipfs.atomichub.io/ipfs/QmSFdnzoMMeWXbP5ddxrHPtRvrw1ru6LT15pya4WSbwc3d,vancitycomic,vancity.gems,0.06
22,1099512047783,Disturbing Doc,gpk.steph,cqcau.wam,gpk.steph,False,2020-12-04,0.13,https://ipfs.atomichub.io/ipfs/QmYkMDkB1d8ToHNHnFwpeESF3Npfid671NrfbPKiKG8e25/base/5a.jpg,gpk.topps,gpk.topps,0.08
23,1099512047807,Ortho-John-Tist,1.baw.wam,cqcau.wam,1.baw.wam,False,2020-12-21,0.46,https://ipfs.atomichub.io/ipfs/QmYkMDkB1d8ToHNHnFwpeESF3Npfid671NrfbPKiKG8e25/prism/11a.gif,gpk.topps,gpk.topps,0.08
24,1099512047778,Tooth Fairy Finlay,xnx3c.wam,cqcau.wam,darkcountryp,False,2020-12-04,0.13,https://ipfs.atomichub.io/ipfs/QmYkMDkB1d8ToHNHnFwpeESF3Npfid671NrfbPKiKG8e25/base/11b.jpg,gpk.topps,gpk.topps,0.08
25,1099512047789,Allen Assassin,gpk.steph,cqcau.wam,gpk.steph,False,2020-12-04,0.13,https://ipfs.atomichub.io/ipfs/QmYkMDkB1d8ToHNHnFwpeESF3Npfid671NrfbPKiKG8e25/base/8a.jpg,gpk.topps,gpk.topps,0.08
27,1099512956878,1 Wax Skidi,fineartvault,2d2qw.wam,zwuqw.wam,True,2020-12-05,0.04,https://ipfs.atomichub.io/ipfs/QmdcWspSHwjwsCJzycNvaK7ZoFPhMecajMKgoUpjfC1tmS,skidikapleh3,2d2qw.wam,0.1
31,1099511978289,Boom Box,tubes.kogs,ekaqw.wam,jf1qi.wam,False,2020-12-04,1.62,https://ipfs.atomichub.io/ipfs/QmcXVuHRS69fva9casTYdH14zfLscrBCvX7KWhSxm3DYZk/Kog/no_foil/common/1-48-2-24-0_front.png,kogsofficial,kogsofficial,0.08
32,1099512911610,Italy,tubes.kogs,fcraw.wam,xlrqu.wam,False,2020-12-08,1.37,https://ipfs.atomichub.io/ipfs/QmcXVuHRS69fva9casTYdH14zfLscrBCvX7KWhSxm3DYZk/Kog/no_foil/common/1-78-1-23-0_front.png,kogsofficial,kogsofficial,0.08
33,1099512911604,MP,c4saw.wam,fcraw.wam,wkwaw.wam,False,2020-12-04,1.11,https://ipfs.atomichub.io/ipfs/QmcXVuHRS69fva9casTYdH14zfLscrBCvX7KWhSxm3DYZk/Kog/no_foil/common/1-22-3-24-0_front.png,kogsofficial,kogsofficial,0.08
34,1099512911606,Fire Wheels,tubes.kogs,fcraw.wam,4rbqu.wam,False,2020-12-09,1.22,https://ipfs.atomichub.io/ipfs/QmcXVuHRS69fva9casTYdH14zfLscrBCvX7KWhSxm3DYZk/Kog/no_foil/common/1-49-1-23-0_front.png,kogsofficial,kogsofficial,0.08
35,1099512956461,Tail of whale,tribalbooks,4z.qw.wam,rfiau.wam,True,2020-12-03,1.17,https://ipfs.atomichub.io/ipfs/https://static.tribalbooks.io/symbols/1/tail_of_whale.jpg,tribalbooks,tribalbooks,0.08
37,1099512956465,Song of the Great Plains,tribalbooks,4z.qw.wam,twjaw.wam,True,2020-12-03,2.92,https://ipfs.atomichub.io/ipfs/https://static.tribalbooks.io/symbols/1/song_of_the_great_plains.jpg,tribalbooks,tribalbooks,0.08
39,1099512955426,Wooden Shelter,tribalbooks,4z.qw.wam,rfiau.wam,True,2020-12-03,1.21,https://ipfs.atomichub.io/ipfs/https://static.tribalbooks.io/symbols/1/wooden_shelter.jpg,tribalbooks,tribalbooks,0.08
40,1099512911608,Heart,c4saw.wam,fcraw.wam,wkwaw.wam,False,2020-12-02,2.8,https://ipfs.atomichub.io/ipfs/QmcXVuHRS69fva9casTYdH14zfLscrBCvX7KWhSxm3DYZk/Kog/no_foil/common/1-20-2-22-0_front.png,kogsofficial,kogsofficial,0.08
