,asset_id,name,owner,seller,buyer,burnable,date,price_usd,media,coll_name,coll_author,coll_market_fee
2,1099531213038,Rubi Rorschach 1,ihpr2.wam,3kule.wam,ihpr2.wam,True,2021-04-30,0.0,https://ipfs.atomichub.io/ipfs/QmREBzfzULBXFEJ2Q9J9g3CShMgnqxePUgpSVsmeVNC7ku,rubioriginal,rssay.wam,0.08
3,1099532210422,Lightning Strike,s.rplanet,yfwau.wam,gidr.wam,True,2021-04-30,0.33,https://ipfs.atomichub.io/ipfs/https://cdn.darkcountry.io/img/lightningstrike_1s_sframe.png,darkcountryh,darkcountryh,0.05
4,1099530659531,Standard Capacitor,g.vbc.wam,zudce.wam,g.vbc.wam,True,2021-04-30,0.38,https://ipfs.atomichub.io/ipfs/QmaFe19mLD911BfZWn2tvEN7Ea8xjdirnQQRisUGGBzBPb,alien.worlds,federation,0.01
5,1099532143838,Solar Panel Array,b1uys.wam,aqyr.wam,twjaw.wam,True,2021-04-30,24.45,https://ipfs.atomichub.io/ipfs/Qmf5EbvN8D7XMAwd7Do3DMFyuLD5ANygdmY4JUReZNdfZm/main/solar-panel-array/dark-matter/front.gif,colonizemars,colonizemars,0.08
6,1099531472842,Gator,s.rplanet,5l4b4.wam,45yb4.wam,True,2021-04-30,0.33,https://ipfs.atomichub.io/ipfs/https://cdn.darkcountry.io/img/gator_0s_sframe.png,darkcountryh,darkcountryh,0.05
10,1099530364131,Seget,s.rplanet,sdvb2.wam,13apu.wam,True,2021-04-30,0.25,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/common/1-103-1-35-0_front.png,kogsofficial,kogsofficial,0.06
11,1099525789814,Standard Drill,gqqrc.wam,nctrg.wam,fpxc4.wam,True,2021-04-30,5.74,https://ipfs.atomichub.io/ipfs/QmVUZHpUkc3PuLkJ7BDvJ3S3AgDySjsqWQib1sVKziHCbS,alien.worlds,federation,0.01
35,1099532212209,Food Fight! Pack,1axsi.wam,4vyr.wam,1axsi.wam,True,2021-04-30,10.03,https://ipfs.atomichub.io/ipfs/QmYiXshxX23h4J68Z8HUGVbVZmCwrrjEi3TKA41jW6hcSH/pack.png,gpk.topps,gpk.topps,0.06
57,1099524687413,Lefthouse - Sticker,s.rplanet,wszr4.wam,xihqw.wam,True,2021-04-30,1.25,https://ipfs.atomichub.io/ipfs/QmZ1jRrvvXcSC6VGizeTTf728kdMBEWaSEchKJ9RpbGv5k,metaforce,metaforce,0.05
58,1099530364132,Kappuru,s.rplanet,sdvb2.wam,gg2bm.wam,True,2021-04-30,0.25,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/common/1-139-25-24-0_front.png,kogsofficial,kogsofficial,0.06
60,1099532159393,Scouting Drone,ol5hy.wam,aqyr.wam,twjaw.wam,True,2021-04-30,29.58,https://ipfs.atomichub.io/ipfs/Qmf5EbvN8D7XMAwd7Do3DMFyuLD5ANygdmY4JUReZNdfZm/main/scouting-drone/dark-matter/front.gif,colonizemars,colonizemars,0.08
62,1099526600681,Jacob deGrom,vxbbu.wam,.rtre.wam,vxbbu.wam,True,2021-04-30,25.07,https://ipfs.atomichub.io/ipfs/QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Uncommon/Gold%20Base%20Fronts/topps_series1_base_nym_jacob_degrom_ll_gold.jpg,mlb.topps,mlb.topps,0.06
65,1099531618046,Mission One Patch,mw.sm.wam,p2r4m.wam,y.qbe.wam,True,2021-04-30,0.2,https://ipfs.atomichub.io/ipfs/Qmf5EbvN8D7XMAwd7Do3DMFyuLD5ANygdmY4JUReZNdfZm/patches/standard/patch.gif,colonizemars,colonizemars,0.08
67,1099526430105,Howie Kendrick,qrgbg.wam,3c1rk.wam,qrgbg.wam,True,2021-04-30,2.32,https://ipfs.atomichub.io/ipfs/QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Common/Base%20Fronts/topps_series1_base_wsh_howie_kendrick.jpg,mlb.topps,mlb.topps,0.06
91,1099532218389,Standard Shovel,xncci.wam,ottoottootto,xncci.wam,True,2021-04-30,0.07,https://ipfs.atomichub.io/ipfs/QmYm1FG7LxhF3mFUaVmVEVqRztEmByVbHwL6ZWXwVY2dvb,alien.worlds,federation,0.01
92,1099529032704,TP Gnome | Promo Card,sj2bc.wam,b42b4.wam,sj2bc.wam,True,2021-04-30,0.1,https://ipfs.atomichub.io/ipfs/QmV1CxRtfeRGWuBYdsoq1nVZXXoYMhpCVBED1gwG2oTtQc,gnomeseries1,hhvb2.wam,0.15
93,1099519318769,Tom Curran,auvr2.wam,moneyjunior1,auvr2.wam,True,2021-05-03,0.26,https://ipfs.atomichub.io/ipfs/QmdKEJtXZjn3rDfSneUDDV8Y8FCcWEHpe1mGTPGEewcKdK,cric.owens,owens,0.04
