,asset_id,name,owner,seller,buyer,burnable,date,price_usd,media,coll_name,coll_author,coll_market_fee
418811,1099566713250,KALEIDABANG M8M,rockingonwax,s1kra.wam,cashbacksale,True,2021-10-25,0.01,https://ipfs.atomichub.io/ipfs/QmPxWRxJLttkLkJhCQf4TtKcG1qS2AWaKTCEeqYY7S8p6a,kaleidabang3,rjar4.wam,0.06
419246,1099550493288,Triceratops Horn,rawkingofwax,ybvfc.wam,ewyr4.wam,True,2021-10-26,0.06,https://ipfs.atomichub.io/ipfs/QmWVAbucC3spd2H15BUyt788VXgL7n9gEdKjPx1B4kEPVr,vincevanjoes,oqjbw.wam,0.05
419271,1099550492749,Seed Fern,k22he.wam,ybvfc.wam,k22he.wam,True,2021-10-27,0.24,https://ipfs.atomichub.io/ipfs/QmbhmoxNnpE3zVo8SU1PJGXQbtcAYmB2Q84Hfcvg8rCvXs,vincevanjoes,oqjbw.wam,0.05
419541,1099545578266,Blindman,m..b.wam,ib5r.wam,2vps.wam,True,2021-11-13,0.11,https://ipfs.atomichub.io/ipfs/QmabBZhsYdVMwKg63r2MTP2mU5HJfZ6Vk2cPjikKD3L9W4,wax.comics,wax.comics,0.09
419566,1099545578348,Frog,fbjr4.wam,ib5r.wam,fbjr4.wam,True,2021-11-10,0.06,https://ipfs.atomichub.io/ipfs/QmYmiwWNfnZ17XiQbxEHBKjt7W4e2AFCqetkSTJtrDTjYQ,wax.comics,wax.comics,0.09
419584,1099520602985,West End Baseball Cap,qcnhs.wam,1z1q.wam,qcnhs.wam,True,2021-10-25,0.0,https://ipfs.atomichub.io/ipfs/Qmac8xKz9yfx3FhHi2YTJ9gDwg11ZtvT7wEM9Vh6UxuyY6/Cards/00%20Shards/Shard%201/Nimoy_Cards_Base_Front_Shard1_43.png,nimoy,nimoy,0.06
419589,1099566377921,Woachi´s World - Chapter #01,4bsr2.wam,uibba.wam,4bsr2.wam,True,2021-10-25,0.05,https://ipfs.atomichub.io/ipfs/QmWArzT9d27xKzgk7cEe7CvVuCtksgMfqNHMg6LgnVMvuH,woachisworld,pwpr4.wam,0.05
419850,1099571569120,Chonky Bee,uwzaw.wam,byronjrempel,uwzaw.wam,True,2021-10-25,5.32,https://ipfs.atomichub.io/ipfs/QmTGCvGSDXmaf7JXJ9KRaXGqBcFtgA2E7qSRSTCBmqYnwM,byronartset1,byronjrempel,0.13
419873,1099546369162,Clown Gnome | Base Card,ssure.wam,44dre.wam,ssure.wam,True,2021-10-25,0.24,https://ipfs.atomichub.io/ipfs/QmV3hPZEudDd78XYcZxNxK6e9uAY6sPBDw64Fn4tUTJSET,gnomeseries1,hhvb2.wam,0.08
419889,1099548729560,\\tSakura Cat Head Punks,syuve.wam,mafia,syuve.wam,True,2021-11-22,5.43,https://ipfs.atomichub.io/ipfs/QmWtpsY7rmE3B62c2jnwf6y2ssX6eivR5hCT7Cc4Z8mwqp,catheadpunks,p44ba.wam,0.05
419922,1099546369381,TP Gnome | Fragment,d3wau.wam,44dre.wam,redneck.gm,True,2021-10-25,0.28,https://ipfs.atomichub.io/ipfs/QmWj1L1QVA4H1vfng7MAs8QcbieesKeK6nLvVWNYrRrmf7,gnomeseries1,hhvb2.wam,0.08
419988,1099568130922,Pack Art,arasrgfp5czm,.iaeo.wam,5cpr4.wam,True,2021-11-09,0.05,https://ipfs.atomichub.io/ipfs/QmYhFFu7NEk2E1PzrLwGkkDJhUH5gFsTGP48otHDy9KNqF,alilcreation,hjsb.wam,0.05
420203,1099561102082,NWT TOKEN,rxdrg.wam,jzqgy.wam,rxdrg.wam,True,2021-10-26,0.06,https://ipfs.atomichub.io/ipfs/QmWbSjda32yC3oMyFBmEQm3umw8FRqk5aRLHVotCCDBLHC,newworldnft1,l3raw.wam,0
