,asset_id,name,owner,seller,buyer,burnable,date,price_usd,media,coll_name,coll_author,coll_market_fee
4,1099666162878,Farmer Coin,farmersworld,fk4vm.wam,ej2iy.wam,True,2022-03-30,0.06,https://ipfs.atomichub.io/ipfs/Qmam1XbS4Z3SNU1hZzZNNtV1o4V4hpAeRwCZ4nk1YMuech,farmersworld,.jieg.wam,0.05
6,1099607109430,Flash Gordon Original,oyxcq.wam,2jofw.wam,oyxcq.wam,True,2022-03-30,0.07,https://ipfs.atomichub.io/ipfs/QmUJZVnMeyvQ2kHUwex4hDsM7gN1Z9q5CF8jBwZM4wRbYm/Back/back.png,rcomic.funko,rcomic.funko,0.06
8,1099688662608,Steel,5fnay.wam,ohcxm.wam,5fnay.wam,True,2022-03-30,0.01,https://ipfs.atomichub.io/ipfs/QmVG6HZfLWcqQe3czMnHjwV12fVAsW4H3a7Ai5SaP4qwgd,nftpandawaxp,z5mue.wam,0.08
11,1099655174567,Silver Member,jdlty.wam,vpixa.wam,dnlmm.c.wam,True,2022-03-31,3.24,https://ipfs.atomichub.io/ipfs/QmZWg1mP2UNcSwhrYNVqjk16BnhcWCz3oAva8BfiTNB3J4,farmersworld,.jieg.wam,0.05
15,1099685443910,Wombat Dungeon Season 2 - Yazing Promo,wombatmaster,zsdeg.wam,rkmxo.wam,True,2022-03-30,3.56,https://ipfs.atomichub.io/ipfs/QmYYwnmQjVoff6GbCAgvK2yfPjF4MDyFcRPCTb76mxLzmP,yazingdotcom,yazingdotcom,0.05
18,1099607238632,Flash Gordon Helmet,oyxcq.wam,2jofw.wam,oyxcq.wam,True,2022-03-30,0.05,https://ipfs.atomichub.io/ipfs/QmUJZVnMeyvQ2kHUwex4hDsM7gN1Z9q5CF8jBwZM4wRbYm/Back/back.png,rcomic.funko,rcomic.funko,0.06
20,1099562682750,Big Boy with Shake,n1svw.wam,jn2fu.wam,n1svw.wam,True,2022-03-30,0.05,https://ipfs.atomichub.io/ipfs/QmV9uiUHBX9J96LZbs45Q7mEowAGs8vsfZhvGBULzXqTCV/Back/back.png,bigboy.funko,bigboy.funko,0.06
26,1099668231051,Jetfire,lqd2s.c.wam,rn5ja.wam,lqd2s.c.wam,True,2022-03-30,0.47,https://ipfs.atomichub.io/ipfs/QmY6UcHEqSx96fQAetaAyomKs6LcrXdVzV8H4dNvaCQjGv/Back/back.png,tformr.funko,tformr.funko,0.06
38,1099685817500,Corn,vpvhg.wam,vqs.s.c.wam,4jutc.wam,True,2022-03-30,0.14,https://ipfs.atomichub.io/ipfs/QmQkCitYXTisq7WugjeQ5gkinCPjZpc5uk1SHiPz4Z1eVZ,farmersworld,.jieg.wam,0.05
40,1099611690903,Freak Sketch,mesr4.wam,nzsxk.wam,mesr4.wam,True,2022-03-30,0.46,https://ipfs.atomichub.io/ipfs/QmdfBrB6J4dfEU85cGiqBZR72Ft9HjyZj2CrKD72fsDBxg/Kog/common/1-4-3-22-0-0_front.webp,kogsofficial,kogsofficial,0.06
49,1099687198957,Mars,51am4.c.wam,gwwyg.wam,51am4.c.wam,True,2022-03-31,0.46,https://ipfs.atomichub.io/ipfs/Qma3cVzab1L68WavdFhuAFBBew2zVfFdcsEA2fgZkG2Jhi,pixversegame,pixversegame,0.08
51,1099598925441,Milk,z5ymk.c.wam,f.ehm.wam,z5ymk.c.wam,True,2022-03-30,0.3,https://ipfs.atomichub.io/ipfs/QmYpVvcpEF2e8s6NY5QAjXmXjakZGZhZ53nJbgQWRfg1LT,farmersworld,.jieg.wam,0.05
