,asset_id,name,owner,seller,buyer,burnable,date,price_usd,media,coll_name,coll_author,coll_market_fee
322885,1099515020019,Krownlandia Star Charts King of Diamonds Card,ee1qm.wam,rpzay.wam,ee1qm.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmaJkE4hRmhjhQaYUg6itJbAD1Qt4A6z69Vb33AMSH75t8,krstarcharts,rpzay.wam,0.05
322886,1099515020195,Krownlandia Star Charts Pig Card,ee1qm.wam,rpzay.wam,ee1qm.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmS6vMc61gPN23sdizaW5AcXih7jDiQabYVYKqETEWBn2z,krstarcharts,rpzay.wam,0.05
322889,1099515020594,Krownlandia Star Charts Butterfly Card,ee1qm.wam,rpzay.wam,ee1qm.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmdXf5vKhUVSWcCffEebCBfTMMtrQ81d4bvRxjHsafftq1,krstarcharts,rpzay.wam,0.05
322890,1099515021582,Krownlandia Star Charts Cow Card,ee1qm.wam,rpzay.wam,ee1qm.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmVfAaCYpeHAmU2yUTRgKtKWpMGi32VP9BZzERFCFywidT,krstarcharts,rpzay.wam,0.05
322895,1099515021474,Krownlandia Star Charts Ace of Diamonds Card,ee1qm.wam,rpzay.wam,ee1qm.wam,True,2021-02-07,0.23,https://ipfs.atomichub.io/ipfs/QmTXM7t1aBGEFYotAnh7dhQpemeeyNeTgQy5iznEioWtng,krstarcharts,rpzay.wam,0.05
322899,1099515021648,Krownlandia Star Charts Joker of Clubs Card,ee1qm.wam,rpzay.wam,ee1qm.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmPBH5akeWGK9sPxWFXuyPYNUfZSnp6JzJ3sF2aHpNfQft,krstarcharts,rpzay.wam,0.05
322901,1099515021711,Krownlandia Star Charts Joker of Spades Card,ee1qm.wam,rpzay.wam,ee1qm.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmRmP5tUYJDaLoW458NbVbafjYkExNi6jDKjz5NgisqSg8,krstarcharts,rpzay.wam,0.05
322902,1099515021760,Krownlandia Star Charts Joker of Hearts Card,51mqs.wam,rpzay.wam,51mqs.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmYAUGkD1c8BdhrofUk6wFjzpERVZYq1W5HAWEJaryRK6A,krstarcharts,rpzay.wam,0.05
322905,1099515022373,Krownlandia Star Charts Dolphin Card,krown,rpzay.wam,krown,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmZnUWL1AJsc3yopqJ3FQt46s9AzZtEzNLZQZjiaGQNeoL,krstarcharts,rpzay.wam,0.05
322906,1099515022494,Krownlandia Star Charts Camel Card,ee1qm.wam,rpzay.wam,ee1qm.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmdrHpV5qPPfyiv32USS9ehuhMMrTwVUqdLX63rbW8BF5m,krstarcharts,rpzay.wam,0.05
322907,1099515023424,Krownlandia Star Charts Bird Card,ee1qm.wam,rpzay.wam,ee1qm.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmdH4GZnhzZi4PkdVWXprX9ZCwkbG9zSDWX8BsWfkL91qA,krstarcharts,rpzay.wam,0.05
322908,1099515023532,Krownlandia Star Charts Bunny Card,jbhqu.wam,rpzay.wam,jbhqu.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmX8nGa3TxoUGF4UVCCef4Gaun92S3Kq1eABJSBF9SbaNy,krstarcharts,rpzay.wam,0.05
322910,1099515023545,Krownlandia Star Charts Donkey Card,ee1qm.wam,rpzay.wam,ee1qm.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmdBLpDQJthd8frPEcrWfoQW26jPwJfU7Q8Vcm1zB4y38o,krstarcharts,rpzay.wam,0.05
322914,1099515023587,Krownlandia Star Charts KROWN Cinema Popcorn Card,ee1qm.wam,rpzay.wam,ee1qm.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmZ4FWRCVWmSxY33Bikxw5WaxyyRb5GZ2YkdDdQ67TnYKQ,krstarcharts,rpzay.wam,0.05
322916,1099515023609,Krownlandia Star Charts Spider Card,ee1qm.wam,rpzay.wam,ee1qm.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmRKZfjkkBcVrbLJWZu6spLKwafMGLTvir4LTqAr1tGVby,krstarcharts,rpzay.wam,0.05
322919,1099515023665,Krownlandia Star Charts Praying Mantis Card,ee1qm.wam,rpzay.wam,ee1qm.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmUJjbjjuo9iUnD6eNRQ8PTXX9kXUG3eyHSPD2rfdBoPCM,krstarcharts,rpzay.wam,0.05
