,asset_id,name,owner,seller,buyer,burnable,date,price_usd,media,coll_name,coll_author,coll_market_fee
1,1099529135858,Fire Demon,s.rplanet,ijar.wam,vxrb2.wam,True,2021-05-31,0.55,https://cdn.darkcountry.io/img/firedeamon_1s_rframe.png,darkcountryh,darkcountryh,0.05
2,1099542561806,Jack Asshe,wombatmaster,franklin.gm,4uway.wam,True,2021-05-31,0.46,https://ipfs.atomichub.io/ipfs/QmPzRkVWYVzw6auJ9j4G3Cpdomw4XGNVrLSCQdbPhYJReE,corpworldhel,jonezycrypto,0.08
3,1099535851029,Kite Axe,22cdi.wam,bnnbc.wam,22cdi.wam,True,2021-06-01,1.57,https://ipfs.atomichub.io/ipfs/QmPXDcGLNPyJP3vH34w45dvyqNNsRyhDFiq6oz85uuT4WE,alien.worlds,federation,0.01
4,1099529733053,Rover Sticker,fquay.wam,midbg.wam,fquay.wam,True,2021-05-31,0.15,https://ipfs.atomichub.io/ipfs/QmZdye23z112Xqh7jfUPNXvU6t8B9YfBRLwEyUauvssgsn,colonizemars,colonizemars,0.08
8,1099529135814,Dark Watchers,s.rplanet,ijar.wam,vxrb2.wam,True,2021-05-31,0.55,https://cdn.darkcountry.io/img/darkwatchers_1s_rframe.png,darkcountryh,darkcountryh,0.05
10,1099529134325,Mother of death,s.rplanet,ijar.wam,vxrb2.wam,True,2021-05-31,0.55,https://cdn.darkcountry.io/img/motherofdeath_1s_rframe.png,darkcountryh,darkcountryh,0.05
11,1099535460238,Standard Drill,kbfue.wam,h55bi.wam,kbfue.wam,True,2021-05-31,8.41,https://ipfs.atomichub.io/ipfs/QmVUZHpUkc3PuLkJ7BDvJ3S3AgDySjsqWQib1sVKziHCbS,alien.worlds,federation,0.01
12,1099527493815,Beat Nick,staking.r2,nofni.wam,unseenwallet,True,2021-05-31,5.96,https://ipfs.atomichub.io/ipfs/QmRfRQ17WhNTFsL1s1qTK6poN6MKAe1SnAbRS3q4cGEbky/cards/epic/50b.gif,mutants.r2,mutants.r2,0.08
13,1099529134171,Witchhunter,s.rplanet,ijar.wam,vxrb2.wam,True,2021-05-31,1.38,https://cdn.darkcountry.io/img/witchhunter_2s_rframe.png,darkcountryh,darkcountryh,0.05
14,1099542563169,BeelzeBoss,wombatmaster,franklin.gm,yteb4.wam,True,2021-05-31,30.27,https://ipfs.atomichub.io/ipfs/QmWWR3kAx1K34WM5qtgcjLEkL9W7wTj3z9knWuo3E8ZRLK,corpworldhel,jonezycrypto,0.08
15,1099527487590,Hi-hat Matt,staking.r2,nofni.wam,unseenwallet,True,2021-05-31,5.35,https://ipfs.atomichub.io/ipfs/QmRfRQ17WhNTFsL1s1qTK6poN6MKAe1SnAbRS3q4cGEbky/cards/epic/15b.gif,mutants.r2,mutants.r2,0.08
16,1099529134057,Buffalo,s.rplanet,ijar.wam,vxrb2.wam,True,2021-05-31,0.55,https://cdn.darkcountry.io/img/buffalo_0s_rframe.png,darkcountryh,darkcountryh,0.05
20,1099542776801,Terminator,s.rplanet,oslu4.wam,xijbw.wam,True,2021-05-31,1.99,https://ipfs.atomichub.io/ipfs/QmW489ditKNMNCPm9rS45eQ7a7UfPyvQtBSZGpDqzX1zJz,alien.worlds,federation,0.01
21,1099540841422,Bro v4,disuc.wam,uvube.wam,cwnbc.wam,True,2021-05-31,6.27,https://ipfs.atomichub.io/ipfs/QmYsRNXnbjfRwJybzd7isveVamEhhBmkyjgf1SRupeMR4i,kennbosakgif,33d4q.wam,0.1
