,asset_id,name,owner,seller,buyer,burnable,date,price_usd,media,coll_name,coll_author,coll_market_fee
3,1099520945390,Satoshi5,s.rplanet,gilqy.wam,cjw54.wam,True,2021-03-31,40.99,https://ipfs.atomichub.io/ipfs/QmbbE1iqTjgivuPW9er9gDFq1ydxJHVBBKrUd28isPKmXB,bitcoinorign,btcorigins21,0.1
4,1099520687928,Sugar Crash,3ngqu.wam,raccoonbrand,4wnaw.wam,False,2021-04-05,7.08,https://ipfs.atomichub.io/ipfs/QmR21GzbE4vcFZa4fsRb1Ax9HsumnXkiBZrnEQVF5rhzvH,raccoonbrand,raccoonbrand,0.05
6,1099519165505,UPX Cryptocurrency Guide,vgwb4.wam,5fnay.wam,tdxbc.wam,False,2021-04-24,0.03,https://ipfs.atomichub.io/ipfs/QmaszVgUFdtjpJEouZEmPkA6pYZ86WiWCm8TdPBTHqRnvP,uplandcomics,uplandcomics,0.05
8,1099520975827,Cammy (Battle Outfit),s.rplanet,s15b.wam,xpqb.wam,True,2021-03-31,277.04,https://ipfs.atomichub.io/ipfs/Qma8pMYQCS75na6digqoTUWh3psNJYF61x8X3oGXcbKSf2/3-CAMMY-BONUS-GIF.gif,stf.capcom,capcom,0.06
9,1099520954065,Grey Peacemaker,o.4b.wam,cclb2.wam,o.4b.wam,True,2021-03-31,0.02,https://ipfs.atomichub.io/ipfs/Qme5HWgJritQsBFeGsbYW1XCpe9YBmJY5z6SLq8aGbWQtP,alien.worlds,federation,0.01
14,1099513482796,Game Over 4/4,tubes.kogs,z4fay.wam,miwqw.wam,True,2021-04-02,2.59,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/rare/3-34-33-13-0_front.png,kogsofficial,kogsofficial,0.06
15,1099513821282,Drift King,tubes.kogs,z4fay.wam,yjdqu.wam,True,2021-04-01,2.17,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/rare/3-132-33-14-0_front.png,kogsofficial,kogsofficial,0.06
16,1099513482618,Mountain,1l5qw.wam,z4fay.wam,1l5qw.wam,True,2021-03-31,1.45,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/rare/3-81-12-18-0_front.png,kogsofficial,kogsofficial,0.06
17,1099513481797,Lifeshark,tubes.kogs,z4fay.wam,1q.ay.wam,True,2021-04-22,1.25,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/rare/3-124-30-14-0_front.png,kogsofficial,kogsofficial,0.06
18,1099513482799,Pink Guardian,pg5b4.wam,z4fay.wam,pg5b4.wam,True,2021-04-06,1.24,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/rare/3-48-12-13-0_front.png,kogsofficial,kogsofficial,0.06
19,1099513482797,The Lurker - Basketball,tubes.kogs,z4fay.wam,sm.qy.wam,True,2021-04-17,1.5,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/rare/3-114-10-14-0_front.png,kogsofficial,kogsofficial,0.06
20,1099513476305,A Careless Egg 3/3,tubes.kogs,z4fay.wam,ta4qw.wam,True,2021-04-01,2.67,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/rare/3-40-32-14-0_front.png,kogsofficial,kogsofficial,0.06
23,1099513811373,Mystic Red Fox,tubes.kogs,z4fay.wam,sm.qy.wam,True,2021-04-01,6.34,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/rare/3-146-11-13-0_front.png,kogsofficial,kogsofficial,0.06
24,1099513537049,Friendly Crimebuster,tubes.kogs,z4fay.wam,piur2.wam,True,2021-04-21,1.96,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/rare/3-47-30-17-0_front.png,kogsofficial,kogsofficial,0.06
25,1099513821289,Kogbuster,tubes.kogs,z4fay.wam,xhgaw.wam,True,2021-04-11,1.13,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/rare/3-60-33-33-0_front.png,kogsofficial,kogsofficial,0.06
26,1099520280076,Cartombs! Promo Video,ufpb.wam,3ujqy.wam,ufpb.wam,True,2021-03-31,0.27,https://ipfs.atomichub.io/ipfs/Qmd3USdAmnsXq6yL3nyzbBTzmzKWb8GF7QSpXi9jLAWbZw,cartombs.r2,cartombs.r2,0.08
27,1099513817360,Neko,s.rplanet,z4fay.wam,joiau.wam,True,2021-03-31,1.39,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/rare/3-133-12-14-0_front.png,kogsofficial,kogsofficial,0.06
30,1099513821280,Bale,tubes.kogs,z4fay.wam,trfr.wam,True,2021-04-05,1.39,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/rare/3-90-32-18-0_front.png,kogsofficial,kogsofficial,0.06
31,1099513821291,Black Mamba,tubes.kogs,z4fay.wam,u4may.wam,True,2021-04-09,13.02,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Slammer/no_foil/rare/3-158-11-13-0-0_front.png,kogsofficial,kogsofficial,0.06
33,1099515309117,Kita,tubes.kogs,z4fay.wam,3ssr.wam,True,2021-03-31,3.39,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/rare/3-91-10-15-0_front.png,kogsofficial,kogsofficial,0.06
34,1099518425908,Booty Hunter,tubes.kogs,z4fay.wam,yjdqu.wam,True,2021-04-11,2.79,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/rare/3-18-9-16-0_front.png,kogsofficial,kogsofficial,0.06
38,1099518448077,B.B. Skating,r3wb.wam,z4fay.wam,r3wb.wam,True,2021-03-31,0.71,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/rare/3-119-10-18-0_front.png,kogsofficial,kogsofficial,0.06
43,1099520094897,Adult Dinosaur 4/5,tubes.kogs,z4fay.wam,j4ib2.wam,True,2021-04-03,7.11,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/rare/3-29-33-33-0_front.png,kogsofficial,kogsofficial,0.06
44,1099519867301,WKF,s.rplanet,z4fay.wam,blopsie.za,True,2021-04-17,1.2,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/rare/3-61-12-16-0_front.png,kogsofficial,kogsofficial,0.06
46,1099520054513,The Claw,tubes.kogs,z4fay.wam,4fjqu.wam,True,2021-03-31,1.39,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/rare/3-49-10-18-0_front.png,kogsofficial,kogsofficial,0.06
54,1099512863027,The Yellow Ritual,s4rr4.wam,pgcqy.wam,s4rr4.wam,True,2021-03-31,6.78,https://ipfs.atomichub.io/ipfs/QmZ7VdrEaUMAskn7fs9bhLwEQjgr7REuVxUtHFPFPuRYdj,crptomonkeys,crptomonkeys,0.07
55,1099520931997,DJ Gnome | Card #14 | Blue Parallel,chickengcold,ybvb.wam,1jjrc.wam,True,2021-04-28,4.6,https://ipfs.atomichub.io/ipfs/QmeY9mKdGuLsjuwZYwachnuBX5uxdAmT88JjF6Mz2PWCNy,gnomeseries1,hhvb2.wam,0.1
57,1099519570954,Cartombs! Promo A,s.rplanet,uwrr.wam,2rmqw.wam,True,2021-03-31,0.14,https://ipfs.atomichub.io/ipfs/QmfBNRexCmMzEBEBpLWQf9bHz9xJCX8QXeRqaxn1mxeEcT,cartombs.r2,cartombs.r2,0.08
61,1099519551040,Key Moment (M4),s.rplanet,t2lqy.wam,indominus111,True,2021-03-31,21.57,https://ipfs.atomichub.io/ipfs/QmQThYJrVTMA7TKpvPrFnNfqVfnqqXfYmAMvthxghZZv9C/insert/key-moment/front.png,bitcoinorign,btcorigins21,0.1
62,1099521187399,Silent Shinobi,tubes.kogs,aqyr.wam,zalb4.wam,True,2021-04-02,1.68,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/uncommon/2-21-28-19-0_front.png,kogsofficial,kogsofficial,0.06
64,1099521187398,Toxic Alien 3/4,tubes.kogs,aqyr.wam,ta4qw.wam,True,2021-03-31,0.34,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/uncommon/2-33-28-19-0_front.png,kogsofficial,kogsofficial,0.06
67,1099521187469,Surfshark,tubes.kogs,aqyr.wam,ta4qw.wam,True,2021-03-31,0.46,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/uncommon/2-125-28-34-0_front.png,kogsofficial,kogsofficial,0.06
