,asset_id,name,owner,seller,buyer,burnable,date,price_usd,media,coll_name,coll_author,coll_market_fee
1,1099561824257,Promo Pack,b3d5w.waa,xkfri.wam,b3d5w.waa,True,2021-09-06,0.13,https://ipfs.atomichub.io/ipfs/QmTrRVLvyZiHPaBdYwjfrfFojNHgNE1DKtM9xRzCTHdeoB,postfuture,postfuture,0.06
2,1099563430110,Plains and Pine,xx5b4.wam,w1aqw.wam,athaccount15,True,2021-08-30,0.11,https://ipfs.atomichub.io/ipfs/QmcNy22aaJxCRevARoF6WMKgVK737cXTJUDYZ4ZMnv8kVg,thesvnthseal,thesvnthseal,0.08
3,1099555024540,Koroneiki,abyay.wam,b2jtu.wam,abyay.wam,True,2021-08-31,1.93,https://ipfs.atomichub.io/ipfs/QmSafRhpdXCifvzMUtXgZmAe9aMVJX4ooaCCUrych9jPMH/Koroniki.png,olivelandnft,olivelandnft,0.05
4,1099558388062,Rocksteady,1jwme.c.wam,sf4fu.wam,wnebo.wam,True,2021-08-31,2.39,https://ipfs.atomichub.io/ipfs/QmTU6V3JWWZUksxxqPG7YWX7MTvi6fScXKxW76CDcXAKSF/IPFS-TMNT/Back/back.png,tmnt.funko,tmnt.funko,0.06
7,1099555024541,Beruguette,abyay.wam,b2jtu.wam,abyay.wam,True,2021-08-31,1.93,https://ipfs.atomichub.io/ipfs/QmSafRhpdXCifvzMUtXgZmAe9aMVJX4ooaCCUrych9jPMH/Beruguette.png,olivelandnft,olivelandnft,0.05
8,1099535339303,Thee Final Frontier,kzaxc.wam,xf2b.wam,kzaxc.wam,True,2021-09-29,0.02,https://ipfs.atomichub.io/ipfs/QmUVKBr7WoDeAmdQc3nwwx95EhZmTFeecD3pwTya5wGEkm,nftvonhustle,jmaqw.wam,0.15
9,1099535443863,Standard Drill,utsx.wam,iowrq.wam,jsbd4.wam,True,2021-09-02,17.44,https://ipfs.atomichub.io/ipfs/QmVUZHpUkc3PuLkJ7BDvJ3S3AgDySjsqWQib1sVKziHCbS,alien.worlds,federation,0.01
10,1099555024830,Nyons,ljzbg.wam,b2jtu.wam,ljzbg.wam,True,2021-08-31,5.19,https://ipfs.atomichub.io/ipfs/QmSafRhpdXCifvzMUtXgZmAe9aMVJX4ooaCCUrych9jPMH/Nyons.png,olivelandnft,olivelandnft,0.05
13,1099537105215,Gasrigged Extractor,xbofq.wam,5jpse.wam,qwqwq.wam,True,2021-08-31,79.98,https://ipfs.atomichub.io/ipfs/QmZZZgWWhqxabJuncZrWRzs79DpKraXxum35u2TJga8C6G,alien.worlds,federation,0.01
14,1099558464054,Freddy Funko,hv1vw.wam,sf4fu.wam,hv1vw.wam,True,2021-08-31,4.1,https://ipfs.atomichub.io/ipfs/QmTU6V3JWWZUksxxqPG7YWX7MTvi6fScXKxW76CDcXAKSF/IPFS-TMNT/Back/back.png,tmnt.funko,tmnt.funko,0.06
16,1099533948975,oRdeR of SwoRds Promo,extr4.wam,xf2b.wam,extr4.wam,True,2021-09-01,1.29,https://ipfs.atomichub.io/ipfs/QmYyYzW2L32Gq7LkVVoGoEfhp7X6vpBfqQDuQUAmL7Meic,orderofother,4ulb.wam,0.1
17,1099558296047,Splinter,qooei.wam,owlek.wam,qooei.wam,True,2021-08-31,0.68,https://ipfs.atomichub.io/ipfs/QmTU6V3JWWZUksxxqPG7YWX7MTvi6fScXKxW76CDcXAKSF/IPFS-TMNT/Back/back.png,tmnt.funko,tmnt.funko,0.06
19,1099552498857,Felicia - Human,srluu.wam,cq5b2.wam,srluu.wam,True,2021-08-31,6.15,https://ipfs.atomichub.io/ipfs/QmeYbi4sMiStWYAVxr7a5ZFfCEi8xkdh5xkAfGDUPcCvAk,greenrabbit,greenrabbit,0.07
21,1099558213479,Leonardo,qooei.wam,owlek.wam,qooei.wam,True,2021-08-31,6.49,https://ipfs.atomichub.io/ipfs/QmTU6V3JWWZUksxxqPG7YWX7MTvi6fScXKxW76CDcXAKSF/IPFS-TMNT/Back/back.png,tmnt.funko,tmnt.funko,0.06
27,1099541288329,Bronze Sticker,adbvs.wam,quys4.wam,adbvs.wam,True,2021-09-01,1.01,https://ipfs.atomichub.io/ipfs/QmR1mGVKdDjZSyXKnk9tLw8TurHjwujUh4ropCxm4ZSRV7,breederszone,raau4.wam,0.05
28,1099558456824,Baxter Stockman,harvstoys.dp,sf4fu.wam,cffb4.wam,True,2021-08-31,3.08,https://ipfs.atomichub.io/ipfs/QmTU6V3JWWZUksxxqPG7YWX7MTvi6fScXKxW76CDcXAKSF/IPFS-TMNT/Back/back.png,tmnt.funko,tmnt.funko,0.06
29,1099530408443,Standard Capacitor,arjba.wam,nsnf2.wam,arjba.wam,True,2021-08-30,1.2,https://ipfs.atomichub.io/ipfs/QmaFe19mLD911BfZWn2tvEN7Ea8xjdirnQQRisUGGBzBPb,alien.worlds,federation,0.01
31,1099558448664,Krang,qooei.wam,owlek.wam,qooei.wam,True,2021-08-31,1.71,https://ipfs.atomichub.io/ipfs/QmTU6V3JWWZUksxxqPG7YWX7MTvi6fScXKxW76CDcXAKSF/IPFS-TMNT/Back/back.png,tmnt.funko,tmnt.funko,0.06
32,1099521986251,Crts Galaxyman 1,s.du4.wam,xf2b.wam,s.du4.wam,True,2021-08-31,1.01,https://ipfs.atomichub.io/ipfs/QmaNtUx2qS9ZpnrVf6dSFRAiwb9gjdHbx8nhU38BhF69UB,emcrtsheroes,zkaay.wam,0.1
36,1099563482734,Stone Axe,farmersworld,kapba.wam,hloba.wam,True,2021-08-31,49.56,https://ipfs.atomichub.io/ipfs/QmPUoWpAkUVAhWo2EFwqaGxEczBptftCv5cdJXsFvfGr6T,farmersworld,.jieg.wam,0.05
37,1099563480038,Rabbit Greenprint,s3hau.wam,jsgb2.wam,s3hau.wam,True,2021-08-31,4.44,https://ipfs.atomichub.io/ipfs/QmThtXhi2Nb6DbSUEt3DNugAsGK5gU2LbGuygQcFPQ8zAJ,greenrabbit,greenrabbit,0.07
48,1099531185869,Ice Mining Rig,4dgqy.wam,dvqbe.wam,4dgqy.wam,True,2021-09-09,0.38,https://ipfs.atomichub.io/ipfs/Qmf5EbvN8D7XMAwd7Do3DMFyuLD5ANygdmY4JUReZNdfZm/main/ice-mining-rig/standard/front.jpg,colonizemars,colonizemars,0.08
49,1099558253844,Donatello,pugwash2.dp,owlek.wam,sf4fu.wam,True,2021-08-31,39.31,https://ipfs.atomichub.io/ipfs/QmTU6V3JWWZUksxxqPG7YWX7MTvi6fScXKxW76CDcXAKSF/IPFS-TMNT/Back/back.png,tmnt.funko,tmnt.funko,0.06
50,1099563399056,Harvester,splintrlands,3cleo.wam,hfhr4.wam,True,2021-08-31,0.41,https://d36mxiodymuqjm.cloudfront.net/cards_by_level/reward/Harvester_lv1.png,splintrlands,splintrlands,0.05
52,1099560181640,Stonk Gnome | Gold Plated,ttrqw.wam,unitedpirate,hyera.wam,True,2021-08-31,2.22,https://ipfs.atomichub.io/ipfs/QmXfX2WmSAjeeBtzKtCXSGSBvzNMtTXBsLX7E89tyjjxWX,gnomeseries1,hhvb2.wam,0.09
53,1099549922260,Hyde Skull,a.gri.wam,bovbc.wam,a.gri.wam,True,2021-09-01,27.36,https://ipfs.atomichub.io/ipfs/QmdGEit89ELxBaRnQ1RqtPT1bjaqbD8ehxyig3JN6YEfbq,skullz,skullz,0.08
56,1099518885592,Land Plot Claim,cryptokungfu,ir2ua.wam,bivwe.wam,True,2021-08-31,436.12,https://ipfs.atomichub.io/ipfs/QmajFHXBMTTKx7cJgKvLXgefNbbnt417XgdbeikDLVqN1v,splintrlands,splintrlands,0.05
60,1099560181639,Betsy Gnome | Gold Plated,4cnr4.wam,unitedpirate,4cnr4.wam,True,2021-08-31,2.05,https://ipfs.atomichub.io/ipfs/QmbzrAHYrKCbVJVFJ7HFvEpc9Yos1qwhiJB1FTBMcxsnmd,gnomeseries1,hhvb2.wam,0.09
61,1099558282264,Raphael,qooei.wam,owlek.wam,qooei.wam,True,2021-08-31,1.03,https://ipfs.atomichub.io/ipfs/QmTU6V3JWWZUksxxqPG7YWX7MTvi6fScXKxW76CDcXAKSF/IPFS-TMNT/Back/back.png,tmnt.funko,tmnt.funko,0.06
65,1099561495162,Signature,hhobi.wam,.mguk.wam,hhobi.wam,True,2021-09-01,1.03,https://ipfs.atomichub.io/ipfs/QmZUFhQUA2f5fxPNhuS73nig5EnvyvYXSCZCEET9VwQXUq,nightmares45,n1kra.wam,0.05
66,1099555024824,Barnea,v3eqg.wam,b2jtu.wam,v3eqg.wam,True,2021-08-31,3.16,https://ipfs.atomichub.io/ipfs/QmSafRhpdXCifvzMUtXgZmAe9aMVJX4ooaCCUrych9jPMH/Barnea.png,olivelandnft,olivelandnft,0.05
67,1099554134605,Neon Coffee,uklre.wam,xhduo.wam,uklre.wam,True,2021-08-30,7.19,https://ipfs.atomichub.io/ipfs/QmcEJuGHHzE9LQejaonAnepZztWfnEFqTPKJCuHSe8PG9e,neocoffeenft,mdatm.wam,0.09
69,1099558237433,Michelangelo,dzifu.wam,sf4fu.wam,dzifu.wam,True,2021-09-12,3.27,https://ipfs.atomichub.io/ipfs/QmTU6V3JWWZUksxxqPG7YWX7MTvi6fScXKxW76CDcXAKSF/IPFS-TMNT/Back/back.png,tmnt.funko,tmnt.funko,0.06
