,asset_id,name,owner,seller,buyer,burnable,date,price_usd,media,coll_name,coll_author,coll_market_fee
1,1099512995824,Power Extractor,wesn..c.wam,nbbqw.wam,251qy.wam,True,2021-01-31,1.94,https://ipfs.atomichub.io/ipfs/QmdpDgCRsYPFXpvNN6PzBnNEx28RiuLgkHLkcR1Djedb8K,alien.worlds,federation,0.01
2,1099513682444,Gasrigged Extractor,o.nb2.wam,nbbqw.wam,z1aqy.wam,True,2021-01-31,2.42,https://ipfs.atomichub.io/ipfs/QmZZZgWWhqxabJuncZrWRzs79DpKraXxum35u2TJga8C6G,alien.worlds,federation,0.01
9,1099514057525,Paz,tubes.kogs,a4hay.wam,twjaw.wam,True,2021-01-31,0.4,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/uncommon/2-93-7-21-0_front.png,kogsofficial,kogsofficial,0.06
10,1099512942141,Buffy,s.rplanet,uu4aw.wam,abtqu.wam,True,2021-02-04,0.17,https://ipfs.atomichub.io/ipfs/QmVpxQ6D5V4sDaeeKbirXMw1yRq5zyC834MuGSjEF6x4ur/common/10a.png,mutants.r2,mutants.r2,0.08
11,1099514749815,Standard Capacitor,s.rplanet,4xkqy.wam,rlpqy.wam,True,2021-01-31,0.02,https://ipfs.atomichub.io/ipfs/QmaFe19mLD911BfZWn2tvEN7Ea8xjdirnQQRisUGGBzBPb,alien.worlds,federation,0.01
12,1099514725878,Female Human,tvfro.wam,hxjqy.wam,unbaw.wam,True,2021-01-31,0.02,https://ipfs.atomichub.io/ipfs/QmQUU3KsrRuPiFgmu9wJWp2f9NJ4WzD3eVjMRJdctf9rtR,alien.worlds,federation,0.01
14,1099514744462,Fright,onesuperhero,nhmqy.wam,waxsuperhero,True,2021-01-30,6.42,https://ipfs.atomichub.io/ipfs/QmUuKfKLYXQVPYVKfEUk4YR5eyRKkb5y4hF9n9dDrZTJii,ucupmarucup5,nhmqy.wam,0.1
15,1099514091362,Bosak #4 - Someone Tell Travis,kfwau.wam,twmqw.wam,kfwau.wam,True,2021-01-31,8.55,https://ipfs.atomichub.io/ipfs/QmNpQEfD1uXgMDg21UELEFCkSZDFuAhXhotHgQCqDxTPtj,officialhero,heroes,0.06
16,1099512927992,Potassium,ilikebananos,uu4aw.wam,zz1aw.wam,True,2021-02-08,2.42,https://ipfs.atomichub.io/ipfs/QmVwCHw1Cp3V3qHpuQKyYfXh7PRUbMyHovynmdr9f2V44a,periodicelem,rd3aw.wam,0.05
17,1099512919742,Calcium,.t1aw.wam,uu4aw.wam,.t1aw.wam,True,2021-02-07,3.63,https://ipfs.atomichub.io/ipfs/QmWeh92edeFuMkq73UVM6H4UFQb8aYP76DHqqtw1HECCdp,periodicelem,rd3aw.wam,0.05
18,1099513064076,Vanadium,.t1aw.wam,uu4aw.wam,.t1aw.wam,True,2021-02-08,3.96,https://ipfs.atomichub.io/ipfs/QmYSMzBedzNzq4GPWxXApkwQis18oKo1k7jeLFUwFhVAHG,periodicelem,rd3aw.wam,0.05
19,1099514524005,Sad,cbmaw.wam,5ioqw.wam,xicau.wam,True,2021-02-15,0.31,https://ipfs.atomichub.io/ipfs/QmT1MKJTFDE64sCxQhdu6BeFgQipxTBnVgTJmqztHdG5Rb,thederpycats,5ioqw.wam,0.05
20,1099513702191,Happy New Year 2021,udeaw.wam,uu4aw.wam,udeaw.wam,True,2021-01-31,2.22,https://ipfs.atomichub.io/ipfs/QmfZxaV582QbSTXy5p37BaCBmLmjm7AxkxgfWbcbYXU3od,periodicelem,rd3aw.wam,0.05
21,1099514754833,LG Soldier,bccay.wam,reeaq.wam,bccay.wam,True,2021-01-31,0.2,https://ipfs.atomichub.io/ipfs/QmdS22WuoCWbv8eMPNiqB5CmZWTA8uxsAXeKTgR2iekszj,alien.worlds,federation,0.01
22,1099513829866,Iron,udeaw.wam,uu4aw.wam,udeaw.wam,True,2021-02-02,1.77,https://ipfs.atomichub.io/ipfs/QmZbnEY8G8V1B4uQ5SmdtV5bjsPJNtruaV8dLzDxozZUQA,periodicelem,rd3aw.wam,0.05
23,1099514313774,Zinc,udeaw.wam,uu4aw.wam,udeaw.wam,True,2021-02-02,1.77,https://ipfs.atomichub.io/ipfs/QmT1uUwYArW8GDAckPLmM2NsVsXUFWeYFADzGZMpMxfpmY,periodicelem,rd3aw.wam,0.05
24,1099513943727,Nickel,udeaw.wam,uu4aw.wam,udeaw.wam,True,2021-02-02,1.58,https://ipfs.atomichub.io/ipfs/Qmcqo9Ra6qK68WiSVHwyAGXp9SuPs62sg8hNoVDRFkmcs3,periodicelem,rd3aw.wam,0.05
25,1099514479800,Starting the journey,cvnqw.wam,mroaw.wam,.peaw.wam,True,2021-01-31,1.94,https://ipfs.atomichub.io/ipfs/QmUs1jWJFHtdE37KDusEavKHY9WaeNQqTZ1UdJCefnjBNp,alpacaworlds,alpacabreedr,0.07
26,1099513570995,AW Mining Guide,xldqw.wam,sv3qw.wam,xldqw.wam,True,2021-02-07,0.14,https://ipfs.atomichub.io/ipfs/QmbFn8NnZ3Anjhud8eRzrqcxcBXaMkEWyEXvJ5B9n5ZASZ,uplandcomics,uplandcomics,0.05
28,1099514487045,The Blue Wizard and the Wax Blockchain,fvbaw.wam,boday.wam,zr2qw.wam,True,2021-01-31,4.44,https://ipfs.atomichub.io/ipfs/QmdKAq5Xz3gudYxxEPqoGJkruEGCsPTy5yFC9sYEEzF3QL,aprenticeart,yzxqu.wam,0.05
32,1099514042430,The Bounty Hunter,.xptg.wam,sv3qw.wam,ht.aw.wam,True,2021-01-31,0.12,https://ipfs.atomichub.io/ipfs/QmPGBCWHaVp8ZP8WENxBoq6AqUSeseqsziZXy8gDVMpV86,crptomonkeys,crptomonkeys,0.07
34,1099513600339,High Hopes Low,myrexiconwax,sv3qw.wam,olyaw.wam,True,2021-02-01,2.8,https://ipfs.atomichub.io/ipfs/Qma3fSnXH4TB7XsPamNPqa9iNiFkWSriTTfPk8ijg2bF3a,starcardscpt,ot5qw.wam,0.1
35,1099514717357,Blue Guardian,ahpqy.wam,glkay.wam,jhhay.wam,True,2021-01-31,0.4,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/common/1-54-0-23-0_front.png,kogsofficial,kogsofficial,0.06
38,1099514171709,Stealth Mercenary,w5vra.wam,2ggay.wam,vhdqy.wam,True,2021-01-30,0.01,https://ipfs.atomichub.io/ipfs/QmVRduT9RoAh4kq3srY52uEWe7MgEnUoteM2mMV4fVJWrq,alien.worlds,federation,0.01
39,1099514185174,Terminator,jzkba.wam,2ggay.wam,bccay.wam,True,2021-01-31,0.2,https://ipfs.atomichub.io/ipfs/QmW489ditKNMNCPm9rS45eQ7a7UfPyvQtBSZGpDqzX1zJz,alien.worlds,federation,0.01
41,1099513988918,Little Fiends,k1kaw.wam,kwpay.wam,k1kaw.wam,True,2021-02-10,4.32,https://ipfs.atomichub.io/ipfs/QmU1mbxaShVcEUUGGbZ5pMJTweuMfbD4LrybpXLKKop4rR/hypno/15a.gif,ultrahorrors,gtyaw.wam,0.08
42,1099513774943,Processing Ring,y1oqy.wam,kwpay.wam,y1oqy.wam,True,2021-01-31,11.01,https://ipfs.atomichub.io/ipfs/QmYYEGokAs2LfwG4mWoi74pd9ckzZoF9LThaiqmw18t49w,alien.worlds,federation,0.01
43,1099512938304,Barrel Digger,1.bba.wam,kwpay.wam,dyhqw.wam,True,2021-01-31,12.06,https://ipfs.atomichub.io/ipfs/QmfSDH7q3dcFe8YHr5YixNx8mmhnzvw5DzfbUmYmoK7Hkf,alien.worlds,federation,0.01
45,1099514707667,Basic Trilium Detector,51oy4.wam,.ltk.wam,45baw.wam,True,2021-01-31,0.72,https://ipfs.atomichub.io/ipfs/QmTY7qLossCEC9ypDqyCtsHhzLPVy742Fp2mqsdDg8KKNt,alien.worlds,federation,0.01
51,1099513782036,Water,tubes.kogs,glkay.wam,xlrqu.wam,True,2021-01-30,0.41,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/common/1-87-25-23-0_front.png,kogsofficial,kogsofficial,0.06
52,1099514748701,Passport,cvnqw.wam,iohaw.wam,.peaw.wam,True,2021-01-31,1.82,https://ipfs.atomichub.io/ipfs/QmXgX9EL9TDfk6hWpK41qYs6ByR6JfVBV5AZN3kWZXoRQn,alpacaworlds,alpacabreedr,0.07
53,1099514753728,Standard Shield,s.rplanet,xoxay.wam,unbaw.wam,True,2021-01-31,0.02,https://ipfs.atomichub.io/ipfs/Qmd9MPkRCXxgxLaAfs39sHYiQEvQ8w9zb6HQ4i6PJWTHrb,alien.worlds,federation,0.01
54,1099514753391,Coleção de NFT crypto mania brasil,fxkb2.wam,ou2qw.wam,kfwau.wam,True,2021-01-31,3.83,https://ipfs.atomichub.io/ipfs/QmXGwnnkc9rWsEjTuuAQ75k3GsAkae2uLERpaVg9VS7iXU,collecaonft1,ou2qw.wam,0.05
57,1099512931120,Mad World I,olyaw.wam,tt3aw.wam,olyaw.wam,True,2021-02-01,1.08,https://ipfs.atomichub.io/ipfs/QmNnofHtqZy8oxMnCyDXMYavz1SuMjKpDtCKb7de7d55in,starcardscpt,ot5qw.wam,0.1
58,1099513972435,The Prophet,s.rplanet,waaaw.wam,v.25g.wam,True,2021-03-24,2.41,https://ipfs.atomichub.io/ipfs/QmQYXMWU7GSaQu1RoNwWEdFyoFiMF2t7GWD1jxCA2xi5rL/classics/series1/41.jpg,officialhero,heroes,0.06
59,1099514633814,Standard Shovel,s.rplanet,4xkqy.wam,noqaw.wam,True,2021-01-31,0.02,https://ipfs.atomichub.io/ipfs/QmYm1FG7LxhF3mFUaVmVEVqRztEmByVbHwL6ZWXwVY2dvb,alien.worlds,federation,0.01
61,1099513905427,Crypto Fun Shuck,s.rplanet,wkrqy.wam,p1cqw.wam,True,2021-02-06,8.98,https://ipfs.atomichub.io/ipfs/Qmc2v8jvwpRQ94wrTHiGmEe7r6FDC5D5LtrN4Q2AyH8Y2x,ultrahorrors,gtyaw.wam,0.08
62,1099513276505,ATH,olyaw.wam,14caw.wam,olyaw.wam,True,2021-02-02,2.96,https://ipfs.atomichub.io/ipfs/QmdEq6Rw6DbgLHJAt24ovq59XEn3qHMcvfULQJmdM6PGYM,twobontanica,cswaw.wam,0.09
64,1099513988663,Mr. Trickster,flexy.waxio,waaaw.wam,cvnqu.wam,True,2021-01-30,3.52,https://ipfs.atomichub.io/ipfs/QmU1mbxaShVcEUUGGbZ5pMJTweuMfbD4LrybpXLKKop4rR/hypno/11b.gif,ultrahorrors,gtyaw.wam,0.08
65,1099514750737,Standard Sword,zpfxi.wam,khaaw.wam,vhdqy.wam,True,2021-01-30,0.01,https://ipfs.atomichub.io/ipfs/QmYfMb6jv4fAkYKCYn36kHeXE1PpPhqwCuh5jP9KbJs8jC,alien.worlds,federation,0.01
67,1099513344366,Hatched Dinosaur 2/5,bluewizard,lujaw.wam,tskqy.wam,True,2021-01-31,12.06,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/common/1-27-1-35-0_front.png,kogsofficial,kogsofficial,0.06
69,1099512886600,Death seeker,lk5aw.wam,1l5qw.wam,lk5aw.wam,True,2021-01-31,1.61,https://ipfs.atomichub.io/ipfs/https://cdn.darkcountry.io/img/deathseaker_2s_sframe.png,darkcountryh,darkcountryh,0.05
70,1099512890707,Chupacabra,cxzqu.wam,1l5qw.wam,cxzqu.wam,True,2021-02-03,0.83,https://ipfs.atomichub.io/ipfs/https://cdn.darkcountry.io/img/chupakabra_2s_sframe.png,darkcountryh,darkcountryh,0.05
71,1099512888222,Barricade,lk5aw.wam,1l5qw.wam,lk5aw.wam,True,2021-01-31,1.21,https://ipfs.atomichub.io/ipfs/https://cdn.darkcountry.io/img/barricade_2s_sframe.png,darkcountryh,darkcountryh,0.05
73,1099513860964,Sky Shield,s.rplanet,jukqs.wam,ohlqy.wam,True,2021-01-31,0.24,https://ipfs.atomichub.io/ipfs/QmRkAmq8kJaWJniQTKVLVP5F4WoVdLLjxaSm3DYtowARWN,alien.worlds,federation,0.01
75,1099512884397,Barrel,cxzqu.wam,1l5qw.wam,cxzqu.wam,True,2021-02-03,0.83,https://ipfs.atomichub.io/ipfs/https://cdn.darkcountry.io/img/barrel_2s_sframe.png,darkcountryh,darkcountryh,0.05
76,1099514669944,Mysterious Hacker,bccay.wam,p.bay.wam,bccay.wam,True,2021-01-31,9.68,https://ipfs.atomichub.io/ipfs/QmVMAjAc83vzoLcB4uEEocrMtYLdX9Q8azSBVhBE7GfVip,alien.worlds,federation,0.01
80,1099512899454,Axe Gun,cxzqu.wam,1l5qw.wam,cxzqu.wam,True,2021-02-03,0.83,https://ipfs.atomichub.io/ipfs/https://cdn.darkcountry.io/img/axegun_2s_sframe.png,darkcountryh,darkcountryh,0.05
82,1099514235546,Smooth Kriminal,.54qy.wam,matthew.za,.54qy.wam,True,2021-01-30,0.5,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/uncommon/2-67-6-34-0_front.png,kogsofficial,kogsofficial,0.06
83,1099514717431,Zombie Ninja,.54qy.wam,matthew.za,.54qy.wam,True,2021-01-30,1.04,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Slammer/no_foil/common/1-168-26-22-0_front.png,kogsofficial,kogsofficial,0.06
84,1099514066234,UFO Machine,.54qy.wam,matthew.za,.54qy.wam,True,2021-01-30,0.5,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/uncommon/2-136-29-34-0_front.png,kogsofficial,kogsofficial,0.06
